image slide: 0x4b7c000
root-orbit-split: board is σ-symmetric; searching one representative per σ-orbit of the root's children
cWD: mmapping data/cwd_mm.bin…
cwd-lm2: mmapping data/cwd_lm_mm.bin…
cWD ready: fast single-line-max table path, neighbor-prune ON
flat engine: iterative arena, move-pruning DFA 41396 states, 687 KiB
parallel: tree-splitting driver on 8 rayon workers (RAYON_NUM_THREADS to change)
[13:12:20.052 UTC] search: start  (setup 1.44s)
    lm2joint[live]: consults 28300543 (+455121), misses 300119 (+1922), keys 299964, prunes 1539176, fallbacks 43489
    lm2joint[live]: consults 28718895 (+418352), misses 301613 (+1494), keys 301457, prunes 1571803, fallbacks 43780
    lm2joint[live]: consults 29361901 (+643006), misses 303827 (+2214), keys 303670, prunes 1598976, fallbacks 44033
    lm2joint[live]: consults 30083629 (+721728), misses 305683 (+1856), keys 305526, prunes 1636019, fallbacks 44284
    lm2joint[live]: consults 30442809 (+359180), misses 307411 (+1728), keys 307254, prunes 1648726, fallbacks 44513
    lm2joint[live]: consults 31021972 (+579163), misses 308965 (+1554), keys 308807, prunes 1681350, fallbacks 44743
    lm2joint[live]: consults 31494946 (+472974), misses 310824 (+1859), keys 310666, prunes 1724681, fallbacks 44968
    lm2joint[live]: consults 32022720 (+527774), misses 312839 (+2015), keys 312681, prunes 1752089, fallbacks 45199
    lm2joint[live]: consults 32247342 (+224622), misses 314752 (+1913), keys 314594, prunes 1767192, fallbacks 45440
    lm2joint[live]: consults 32565689 (+318347), misses 316192 (+1440), keys 316034, prunes 1788260, fallbacks 45693
    lm2joint[live]: consults 33425182 (+859493), misses 318237 (+2045), keys 318079, prunes 1838151, fallbacks 45912
    lm2joint[live]: consults 34190819 (+765637), misses 320206 (+1969), keys 320048, prunes 1883980, fallbacks 46105
    lm2joint[live]: consults 34668293 (+477474), misses 321775 (+1569), keys 321617, prunes 1915290, fallbacks 46297
    lm2joint[live]: consults 35365075 (+696782), misses 323555 (+1780), keys 323397, prunes 1957988, fallbacks 46523
    lm2joint[live]: consults 35813268 (+448193), misses 325086 (+1531), keys 324928, prunes 1986658, fallbacks 46743
